基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
007350,华夏科技创新混合C,01-26,2.5793,3.02%,13.21%,157.93%,157.93%,157.93%,7.49%,https://www.howbuy.com/fund/007350
000209,信诚新兴产业混合,01-26,3.3560,11.09%,16.12%,57.86%,79.08%,119.20%,16.00%,https://www.howbuy.com/fund/000209
009644,东方阿尔法优势产业混合A,01-26,1.5233,11.79%,15.73%,57.30%,55.12%,--,16.08%,https://www.howbuy.com/fund/009644
009645,东方阿尔法优势产业混合C,01-26,1.5190,11.78%,15.69%,57.12%,54.75%,--,16.04%,https://www.howbuy.com/fund/009645
001951,金鹰改革红利混合,01-26,2.5160,9.49%,14.21%,54.93%,76.07%,111.07%,14.36%,https://www.howbuy.com/fund/001951
002083,新华鑫动力灵活配置混合A,01-26,2.5602,7.00%,12.04%,54.60%,79.41%,131.69%,10.12%,https://www.howbuy.com/fund/002083
002084,新华鑫动力灵活配置混合C,01-26,2.5468,6.99%,12.05%,54.54%,79.23%,131.53%,10.11%,https://www.howbuy.com/fund/002084
005939,工银新能源汽车混合A,01-26,3.1307,7.71%,12.78%,53.81%,75.98%,106.22%,12.79%,https://www.howbuy.com/fund/005939
005940,工银新能源汽车混合C,01-26,3.0753,7.70%,12.74%,53.66%,75.62%,105.40%,12.76%,https://www.howbuy.com/fund/005940
400015,东方新能源汽车主题混合,01-26,3.0900,7.57%,11.25%,53.56%,81.44%,114.85%,10.07%,https://www.howbuy.com/fund/400015
004745,长盛创新驱动混合,01-26,2.2690,8.11%,15.94%,52.11%,74.98%,108.70%,15.13%,https://www.howbuy.com/fund/004745
006424,嘉合锦程混合A,01-26,2.3663,5.57%,17.83%,50.67%,62.62%,116.04%,13.30%,https://www.howbuy.com/fund/006424
006425,嘉合锦程混合C,01-26,2.3258,5.55%,17.75%,50.37%,61.96%,114.30%,13.23%,https://www.howbuy.com/fund/006425
005119,银华智荟内在价值灵活配置,01-26,2.0355,4.40%,19.57%,49.12%,46.47%,81.48%,14.96%,https://www.howbuy.com/fund/005119
002959,汇添富盈泰混合,01-26,2.5050,9.92%,17.94%,48.49%,52.74%,112.47%,15.07%,https://www.howbuy.com/fund/002959
001753,红土创新新兴产业混合,01-26,1.6730,3.66%,11.24%,47.92%,63.86%,84.66%,11.24%,https://www.howbuy.com/fund/001753
002681,金鹰元和灵活配置混合A,01-26,2.1179,7.19%,10.08%,47.88%,46.91%,62.14%,10.21%,https://www.howbuy.com/fund/002681
002682,金鹰元和灵活配置混合C,01-26,2.0765,7.18%,10.02%,47.66%,46.48%,61.17%,10.16%,https://www.howbuy.com/fund/002682
007291,汇丰晋信港股通双核混合,01-26,1.9193,3.54%,21.15%,47.64%,54.98%,59.13%,16.96%,https://www.howbuy.com/fund/007291
001874,前海开源沪港深价值精选,01-26,2.6550,6.24%,26.01%,47.58%,50.85%,85.15%,18.21%,https://www.howbuy.com/fund/001874
006299,恒越核心精选混合A,01-26,2.3942,4.91%,17.76%,46.52%,64.61%,114.28%,12.60%,https://www.howbuy.com/fund/006299
007193,恒越核心精选混合C,01-26,2.3993,4.91%,17.73%,46.46%,64.44%,113.88%,12.59%,https://www.howbuy.com/fund/007193
005241,中欧时代智慧混合A,01-26,2.5846,6.21%,18.42%,46.26%,57.19%,108.94%,14.02%,https://www.howbuy.com/fund/005241
005412,金信民长混合A,01-26,1.6288,6.01%,18.27%,45.99%,32.68%,--,15.00%,https://www.howbuy.com/fund/005412
005242,中欧时代智慧混合C,01-26,2.5163,6.20%,18.35%,45.97%,56.59%,107.31%,13.96%,https://www.howbuy.com/fund/005242
005413,金信民长混合C,01-26,1.5489,6.00%,18.26%,45.97%,32.61%,--,15.01%,https://www.howbuy.com/fund/005413
006049,恒越研究精选混合A,01-26,2.3752,5.38%,17.70%,45.85%,65.33%,105.59%,12.66%,https://www.howbuy.com/fund/006049
007192,恒越研究精选混合C,01-26,2.3674,5.37%,17.68%,45.78%,65.17%,105.22%,12.65%,https://www.howbuy.com/fund/007192
006250,上投摩根动力精选混合,01-26,2.8385,9.06%,12.15%,45.31%,66.74%,111.92%,11.40%,https://www.howbuy.com/fund/006250
006266,永赢智能领先混合A,01-26,2.6964,6.28%,15.70%,45.17%,56.01%,106.21%,11.39%,https://www.howbuy.com/fund/006266
008640,方正富邦科技创新混合A,01-26,1.9723,11.85%,16.90%,45.16%,72.04%,97.27%,13.66%,https://www.howbuy.com/fund/008640
006269,永赢智能领先混合C,01-26,2.6817,6.28%,15.68%,45.10%,55.85%,105.81%,11.38%,https://www.howbuy.com/fund/006269
008641,方正富邦科技创新混合C,01-26,1.9672,11.85%,16.87%,45.05%,71.85%,96.76%,13.64%,https://www.howbuy.com/fund/008641
320006,诺安灵活配置混合,01-26,3.7920,3.35%,14.49%,44.79%,44.02%,63.03%,10.52%,https://www.howbuy.com/fund/320006
001156,申万菱信新能源汽车混合,01-26,2.6060,6.50%,9.40%,44.54%,62.06%,107.65%,8.18%,https://www.howbuy.com/fund/001156
