基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
003834,华夏能源革新股票,01-26,3.0400,7.12%,15.46%,68.70%,103.62%,122.87%,12.47%,https://www.howbuy.com/fund/003834
005968,创金合信工业周期股票A,01-26,3.3744,9.43%,20.09%,58.77%,88.79%,172.92%,19.96%,https://www.howbuy.com/fund/005968
005969,创金合信工业周期股票C,01-26,3.3150,9.42%,20.02%,58.51%,88.14%,171.05%,19.90%,https://www.howbuy.com/fund/005969
005927,创金合信新能源汽车股票A,01-26,2.4239,8.51%,13.50%,56.16%,73.59%,95.95%,12.33%,https://www.howbuy.com/fund/005927
005928,创金合信新能源汽车股票C,01-26,2.3764,8.50%,13.44%,55.90%,72.99%,94.61%,12.27%,https://www.howbuy.com/fund/005928
000828,泰达转型机遇股票,01-26,2.4590,9.92%,8.95%,53.21%,65.59%,96.09%,9.00%,https://www.howbuy.com/fund/000828
005669,前海开源公用事业股票,01-26,1.8595,9.94%,10.90%,53.03%,77.55%,81.10%,11.92%,https://www.howbuy.com/fund/005669
009147,建信新能源行业股票,01-26,1.9463,6.77%,14.13%,51.27%,92.97%,--,12.59%,https://www.howbuy.com/fund/009147
540008,汇丰晋信低碳先锋股票,01-26,3.3485,3.52%,6.49%,50.28%,68.10%,119.57%,6.30%,https://www.howbuy.com/fund/540008
003624,创金合信资源主题精选股A,01-26,2.3318,6.88%,14.56%,50.09%,68.52%,114.32%,14.99%,https://www.howbuy.com/fund/003624
003625,创金合信资源主题精选股C,01-26,2.2810,6.87%,14.51%,49.91%,68.10%,113.26%,14.95%,https://www.howbuy.com/fund/003625
001008,工银国企改革股票,01-26,2.5870,5.72%,14.17%,49.19%,60.78%,109.14%,12.87%,https://www.howbuy.com/fund/001008
001158,工银新材料新能源股票,01-26,1.5920,6.13%,15.95%,49.06%,60.65%,110.58%,14.86%,https://www.howbuy.com/fund/001158
001245,工银生态环境股票,01-26,1.9810,8.13%,10.86%,48.95%,67.17%,134.16%,10.73%,https://www.howbuy.com/fund/001245
005660,嘉实资源精选股票A,01-26,2.5054,2.35%,15.23%,47.00%,62.07%,104.31%,12.17%,https://www.howbuy.com/fund/005660
005661,嘉实资源精选股票C,01-26,2.4794,2.34%,15.19%,46.81%,61.66%,103.30%,12.13%,https://www.howbuy.com/fund/005661
000594,大摩进取优选股票,01-26,3.5490,2.75%,24.26%,46.59%,58.72%,84.36%,21.42%,https://www.howbuy.com/fund/000594
004812,中欧先进制造股票A,01-26,2.9425,7.61%,10.03%,44.53%,75.25%,126.66%,9.00%,https://www.howbuy.com/fund/004812
